"id","title","description","begin_at","end_at","price_min","price_max","members_max","address","city","zip","lat","lng","member_id","encrypted_password","created_at","updated_at","image","photos","photo1","photo2","photo3","photo4","photo5","calendar_string","multi_dates_id","cloudy_id","calendar_range_string"
"3292","Danse des 5 Rythmes - Jeudi Hebdo","","2017-02-09 19:30:00","2017-01-09 21:30:00",20,20,0,"près du 39-41 rue Labat ","Paris","75018","","","32","","2017-02-07 16:11:38.603628","2018-01-29 20:41:48.594623","","","","","","","","","","3331",""
"3293","Escale de Rentrée:  Jouer avec la lumière d'été","Cultiver sa belle énergie et  jouer avec la lumière, en deux temps, au choix :
               - Exploration sensorielle et créative 13:00 -16:30 Spirale de danse libre 17:00 -19:30
","2016-09-10 13:00:00","2016-09-10 19:30:00",60,60,0,"16 passage de la Main d'Or","","75011","","","37","","2016-09-05 13:32:34.147936","2018-01-29 20:42:12.755652","","","","","","","","","","4095",""
"3294","JOURNÉE LIFE ART PROCESS","Une journée pour explorer un thème avec comme porte d'entrée le corps et le mouvement, puis prolonger l'expérience avec le dessin, l'écriture créative, pour se révéler à soi-même au-delà de ses habitudes quotidiennes, et jouer avec un groupe créatif !","2017-05-21 11:00:00","2017-05-21 18:00:00",60,60,0,"102 bd de la Villette","Paris","75019","","","49","","2017-04-02 21:08:54.069672","2018-01-29 20:41:48.623205","","","","","","","","","","3332",""
"3295","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-09-25 11:00:00","2017-10-25 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.185496","2018-01-29 20:41:48.652464","","","","","","","","","","3333",""
"3296","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-10-02 11:00:00","2016-10-02 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.190669","2018-01-29 20:41:48.681919","","","","","","","","","","3334",""
"3297","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-10-16 11:00:00","2016-10-16 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.194892","2018-01-29 20:41:48.710557","","","","","","","","","","3335",""
"3298","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-10-23 11:00:00","2016-10-23 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.199458","2018-01-29 20:41:48.738536","","","","","","","","","","3336",""
"3299","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-10-30 11:00:00","2016-10-30 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.204053","2018-01-29 20:41:48.766317","","","","","","","","","","3337",""
"3300","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-11-13 11:00:00","2016-11-13 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.209582","2018-01-29 20:41:48.79568","","","","","","","","","","3338",""
"3301","Danser la vague des 5 Rythmes","Cours de 5 rythmes","2016-11-27 11:00:00","2016-11-27 13:00:00",18,18,0,"18-20 rue du faubourg du Temple","Paris","75011","","","25","","2016-09-24 15:37:23.220084","2018-01-29 20:41:48.823104","","","","","","","","","","3339",""
